# じゃらんエリアダッシュボード／予約状況／カレンダー 日別データ【宿泊】,,,,,,,,,,,,,
# データソース: https://prod-apnortheast-a.online.tableau.com/#/site/jalanareadashboard/views/ver_2/sheet0,,,,,,,,,,,,,
# 比較年: 1年前（前年同月日との比較）,,,,,,,,,,,,,
# 取扱額の単位は万円、人数=宿泊人泊数、単価=宿泊人泊単価（円）,,,,,,,,,,,,,
# 比較年実績/比較年予約 セルは「値 (前年比%)」の形式,,,,,,,,,,,,,
# 「※」は予約実績法人数1件以下または予約件数4件以下のため非公開,,,,,,,,,,,,,
予約種別,年度,比較年,日付,曜日,取扱額,取扱額_比較年実績,取扱額_比較年予約,宿泊人泊数,人泊数_比較年実績,人泊数_比較年予約,宿泊人泊単価,単価_比較年実績,単価_比較年予約
宿泊,令和6年度,1年前,2025-01-06,月,28万円,229万円 (12.3%),229万円 (12.3%),35,178 (19.7%),178 (19.7%),"8,050","12,857 (62.6%)","12,857 (62.6%)"
宿泊,令和6年度,1年前,2025-01-07,火,39万円,26万円 (151.4%),26万円 (151.4%),44,25 (176.0%),25 (176.0%),"8,794","10,222 (86.0%)","10,222 (86.0%)"
宿泊,令和6年度,1年前,2025-01-08,水,44万円,90万円 (48.6%),90万円 (48.6%),45,75 (60.0%),75 (60.0%),"9,708","11,988 (81.0%)","11,988 (81.0%)"
宿泊,令和6年度,1年前,2025-01-09,木,46万円,73万円 (63.5%),73万円 (63.5%),60,80 (75.0%),80 (75.0%),"7,711","9,112 (84.6%)","9,112 (84.6%)"
宿泊,令和6年度,1年前,2025-01-10,金,83万円,91万円 (90.8%),91万円 (90.8%),89,109 (81.7%),109 (81.7%),"9,291","8,354 (111.2%)","8,354 (111.2%)"
宿泊,令和6年度,1年前,2025-01-11,土,76万円,80万円 (95.6%),80万円 (95.6%),93,94 (98.9%),94 (98.9%),"8,188","8,474 (96.6%)","8,474 (96.6%)"
宿泊,令和6年度,1年前,2025-01-12,日,213万円,102万円 (209.8%),102万円 (209.8%),167,85 (196.5%),85 (196.5%),"12,766","11,955 (106.8%)","11,955 (106.8%)"
宿泊,令和6年度,1年前,2025-01-13,月,202万円,50万円 (401.6%),50万円 (401.6%),185,50 (370.0%),50 (370.0%),"10,929","10,069 (108.6%)","10,069 (108.6%)"
宿泊,令和6年度,1年前,2025-01-14,火,49万円,73万円 (66.5%),73万円 (66.5%),47,82 (57.3%),82 (57.3%),"10,355","8,930 (116.0%)","8,930 (116.0%)"
宿泊,令和6年度,1年前,2025-01-15,水,61万円,55万円 (110.5%),55万円 (110.5%),72,76 (94.7%),76 (94.7%),"8,472","7,265 (116.6%)","7,265 (116.6%)"
宿泊,令和6年度,1年前,2025-01-16,木,80万円,79万円 (101.0%),79万円 (101.0%),91,102 (89.2%),102 (89.2%),"8,774","7,747 (113.3%)","7,747 (113.3%)"
宿泊,令和6年度,1年前,2025-01-17,金,93万円,111万円 (83.1%),111万円 (83.1%),116,133 (87.2%),133 (87.2%),"7,980","8,379 (95.2%)","8,379 (95.2%)"
宿泊,令和6年度,1年前,2025-01-18,土,133万円,119万円 (111.3%),119万円 (111.3%),126,120 (105.0%),120 (105.0%),"10,548","9,951 (106.0%)","9,951 (106.0%)"
宿泊,令和6年度,1年前,2025-01-19,日,130万円,173万円 (74.9%),173万円 (74.9%),102,138 (73.9%),138 (73.9%),"12,731","12,565 (101.3%)","12,565 (101.3%)"
宿泊,令和6年度,1年前,2025-01-20,月,66万円,77万円 (85.6%),77万円 (85.6%),53,67 (79.1%),67 (79.1%),"12,493","11,550 (108.2%)","11,550 (108.2%)"
宿泊,令和6年度,1年前,2025-01-21,火,66万円,74万円 (88.1%),74万円 (88.1%),83,78 (106.4%),78 (106.4%),"7,899","9,545 (82.8%)","9,545 (82.8%)"
宿泊,令和6年度,1年前,2025-01-22,水,73万円,78万円 (93.6%),78万円 (93.6%),77,86 (89.5%),86 (89.5%),"9,527","9,118 (104.5%)","9,118 (104.5%)"
宿泊,令和6年度,1年前,2025-01-23,木,94万円,60万円 (156.6%),60万円 (156.6%),114,74 (154.1%),74 (154.1%),"8,269","8,133 (101.7%)","8,133 (101.7%)"
宿泊,令和6年度,1年前,2025-01-24,金,193万円,114万円 (169.3%),114万円 (169.3%),214,128 (167.2%),128 (167.2%),"9,016","8,902 (101.3%)","8,902 (101.3%)"
宿泊,令和6年度,1年前,2025-01-25,土,86万円,92万円 (94.3%),92万円 (94.3%),95,78 (121.8%),78 (121.8%),"9,104","11,764 (77.4%)","11,764 (77.4%)"
宿泊,令和6年度,1年前,2025-01-26,日,171万円,165万円 (103.9%),165万円 (103.9%),150,130 (115.4%),130 (115.4%),"11,392","12,656 (90.0%)","12,656 (90.0%)"
宿泊,令和6年度,1年前,2025-01-27,月,86万円,82万円 (103.9%),82万円 (103.9%),73,62 (117.7%),62 (117.7%),"11,741","13,304 (88.3%)","13,304 (88.3%)"
宿泊,令和6年度,1年前,2025-01-28,火,67万円,41万円 (162.0%),41万円 (162.0%),72,44 (163.6%),44 (163.6%),"9,275","9,367 (99.0%)","9,367 (99.0%)"
宿泊,令和6年度,1年前,2025-01-29,水,58万円,71万円 (81.6%),71万円 (81.6%),76,97 (78.4%),97 (78.4%),"7,603","7,304 (104.1%)","7,304 (104.1%)"
宿泊,令和6年度,1年前,2025-01-30,木,74万円,47万円 (159.5%),47万円 (159.5%),93,63 (147.6%),63 (147.6%),"7,995","7,400 (108.0%)","7,400 (108.0%)"
宿泊,令和6年度,1年前,2025-01-31,金,86万円,90万円 (95.4%),90万円 (95.4%),103,119 (86.6%),119 (86.6%),"8,344","7,571 (110.2%)","7,571 (110.2%)"
宿泊,令和6年度,1年前,2025-02-01,土,104万円,75万円 (139.1%),75万円 (139.1%),98,80 (122.5%),80 (122.5%),"10,605","9,339 (113.6%)","9,339 (113.6%)"
宿泊,令和6年度,1年前,2025-02-02,日,136万円,144万円 (94.2%),144万円 (94.2%),131,146 (89.7%),146 (89.7%),"10,382","9,888 (105.0%)","9,888 (105.0%)"
宿泊,令和6年度,1年前,2025-02-03,月,68万円,77万円 (88.2%),77万円 (88.2%),61,62 (98.4%),62 (98.4%),"11,195","12,486 (89.7%)","12,486 (89.7%)"
宿泊,令和6年度,1年前,2025-02-04,火,61万円,66万円 (92.5%),66万円 (92.5%),67,72 (93.1%),72 (93.1%),"9,143","9,199 (99.4%)","9,199 (99.4%)"
宿泊,令和6年度,1年前,2025-02-05,水,61万円,53万円 (113.9%),53万円 (113.9%),73,68 (107.4%),68 (107.4%),"8,295","7,816 (106.1%)","7,816 (106.1%)"
宿泊,令和6年度,1年前,2025-02-06,木,60万円,70万円 (85.6%),70万円 (85.6%),82,96 (85.4%),96 (85.4%),"7,298","7,281 (100.2%)","7,281 (100.2%)"
宿泊,令和6年度,1年前,2025-02-07,金,139万円,135万円 (102.9%),135万円 (102.9%),142,144 (98.6%),144 (98.6%),"9,787","9,384 (104.3%)","9,384 (104.3%)"
宿泊,令和6年度,1年前,2025-02-08,土,146万円,111万円 (131.4%),111万円 (131.4%),146,117 (124.8%),117 (124.8%),"10,008","9,506 (105.3%)","9,506 (105.3%)"
宿泊,令和6年度,1年前,2025-02-09,日,246万円,260万円 (94.9%),260万円 (94.9%),235,230 (102.2%),230 (102.2%),"10,483","11,284 (92.9%)","11,284 (92.9%)"
宿泊,令和6年度,1年前,2025-02-10,月,230万円,294万円 (78.1%),294万円 (78.1%),176,279 (63.1%),279 (63.1%),"13,060","10,553 (123.8%)","10,553 (123.8%)"
宿泊,令和6年度,1年前,2025-02-11,火,99万円,70万円 (140.4%),70万円 (140.4%),91,68 (133.8%),68 (133.8%),"10,850","10,341 (104.9%)","10,341 (104.9%)"
宿泊,令和6年度,1年前,2025-02-12,水,66万円,68万円 (97.4%),68万円 (97.4%),52,73 (71.2%),73 (71.2%),"12,753","9,322 (136.8%)","9,322 (136.8%)"
宿泊,令和6年度,1年前,2025-02-13,木,62万円,77万円 (80.5%),77万円 (80.5%),77,101 (76.2%),101 (76.2%),"8,095","7,668 (105.6%)","7,668 (105.6%)"
宿泊,令和6年度,1年前,2025-02-14,金,137万円,110万円 (124.4%),110万円 (124.4%),154,142 (108.5%),142 (108.5%),"8,916","7,771 (114.7%)","7,771 (114.7%)"
宿泊,令和6年度,1年前,2025-02-15,土,80万円,80万円 (100.2%),80万円 (100.2%),75,79 (94.9%),79 (94.9%),"10,706","10,147 (105.5%)","10,147 (105.5%)"
宿泊,令和6年度,1年前,2025-02-16,日,225万円,173万円 (129.8%),173万円 (129.8%),160,148 (108.1%),148 (108.1%),"14,032","11,688 (120.0%)","11,688 (120.0%)"
宿泊,令和6年度,1年前,2025-02-17,月,95万円,91万円 (104.3%),91万円 (104.3%),86,76 (113.2%),76 (113.2%),"11,011","11,947 (92.2%)","11,947 (92.2%)"
宿泊,令和6年度,1年前,2025-02-18,火,111万円,97万円 (114.7%),97万円 (114.7%),99,103 (96.1%),103 (96.1%),"11,179","9,370 (119.3%)","9,370 (119.3%)"
宿泊,令和6年度,1年前,2025-02-19,水,110万円,106万円 (103.7%),106万円 (103.7%),135,116 (116.4%),116 (116.4%),"8,140","9,132 (89.1%)","9,132 (89.1%)"
宿泊,令和6年度,1年前,2025-02-20,木,114万円,124万円 (91.6%),124万円 (91.6%),132,158 (83.5%),158 (83.5%),"8,631","7,876 (109.6%)","7,876 (109.6%)"
宿泊,令和6年度,1年前,2025-02-21,金,140万円,119万円 (117.7%),119万円 (117.7%),173,113 (153.1%),113 (153.1%),"8,115","10,559 (76.9%)","10,559 (76.9%)"
宿泊,令和6年度,1年前,2025-02-22,土,129万円,379万円 (34.1%),379万円 (34.1%),115,365 (31.5%),365 (31.5%),"11,240","10,371 (108.4%)","10,371 (108.4%)"
宿泊,令和6年度,1年前,2025-02-23,日,338万円,359万円 (94.3%),359万円 (94.3%),265,278 (95.3%),278 (95.3%),"12,766","12,901 (99.0%)","12,901 (99.0%)"
宿泊,令和6年度,1年前,2025-02-24,月,310万円,77万円 (400.8%),77万円 (400.8%),272,58 (469.0%),58 (469.0%),"11,386","13,321 (85.5%)","13,321 (85.5%)"
宿泊,令和6年度,1年前,2025-02-25,火,188万円,65万円 (289.4%),65万円 (289.4%),155,83 (186.7%),83 (186.7%),"12,134","7,829 (155.0%)","7,829 (155.0%)"
宿泊,令和6年度,1年前,2025-02-26,水,81万円,96万円 (84.3%),96万円 (84.3%),90,109 (82.6%),109 (82.6%),"9,039","8,852 (102.1%)","8,852 (102.1%)"
宿泊,令和6年度,1年前,2025-02-27,木,79万円,84万円 (94.4%),84万円 (94.4%),90,97 (92.8%),97 (92.8%),"8,810","8,663 (101.7%)","8,663 (101.7%)"
宿泊,令和6年度,1年前,2025-02-28,金,100万円,145万円 (69.0%),145万円 (69.0%),110,165 (66.7%),165 (66.7%),"9,063","8,758 (103.5%)","8,758 (103.5%)"
宿泊,令和6年度,1年前,2025-03-01,土,70万円,97万円 (72.5%),97万円 (72.5%),72,111 (64.9%),111 (64.9%),"9,763","8,729 (111.8%)","8,729 (111.8%)"
宿泊,令和6年度,1年前,2025-03-02,日,208万円,177万円 (117.8%),177万円 (117.8%),146,161 (90.7%),161 (90.7%),"14,257","10,978 (129.9%)","10,978 (129.9%)"
宿泊,令和6年度,1年前,2025-03-03,月,83万円,41万円 (200.1%),41万円 (200.1%),60,53 (113.2%),53 (113.2%),"13,825","7,821 (176.8%)","7,821 (176.8%)"
宿泊,令和6年度,1年前,2025-03-04,火,65万円,65万円 (99.2%),65万円 (99.2%),65,83 (78.3%),83 (78.3%),"9,943","7,853 (126.6%)","7,853 (126.6%)"
宿泊,令和6年度,1年前,2025-03-05,水,99万円,86万円 (116.0%),86万円 (116.0%),114,104 (109.6%),104 (109.6%),"8,703","8,227 (105.8%)","8,227 (105.8%)"
宿泊,令和6年度,1年前,2025-03-06,木,97万円,93万円 (104.5%),93万円 (104.5%),93,111 (83.8%),111 (83.8%),"10,450","8,381 (124.7%)","8,381 (124.7%)"
宿泊,令和6年度,1年前,2025-03-07,金,135万円,109万円 (123.5%),109万円 (123.5%),147,132 (111.4%),132 (111.4%),"9,187","8,285 (110.9%)","8,285 (110.9%)"
宿泊,令和6年度,1年前,2025-03-08,土,111万円,111万円 (100.0%),111万円 (100.0%),99,113 (87.6%),113 (87.6%),"11,214","9,828 (114.1%)","9,828 (114.1%)"
宿泊,令和6年度,1年前,2025-03-09,日,258万円,167万円 (154.7%),167万円 (154.7%),229,168 (136.3%),168 (136.3%),"11,267","9,930 (113.5%)","9,930 (113.5%)"
宿泊,令和6年度,1年前,2025-03-10,月,88万円,67万円 (130.8%),67万円 (130.8%),68,52 (130.8%),52 (130.8%),"12,959","12,957 (100.0%)","12,957 (100.0%)"
宿泊,令和6年度,1年前,2025-03-11,火,73万円,82万円 (89.8%),82万円 (89.8%),79,87 (90.8%),87 (90.8%),"9,272","9,374 (98.9%)","9,374 (98.9%)"
宿泊,令和6年度,1年前,2025-03-12,水,119万円,79万円 (150.2%),79万円 (150.2%),126,92 (137.0%),92 (137.0%),"9,406","8,578 (109.7%)","8,578 (109.7%)"
宿泊,令和6年度,1年前,2025-03-13,木,76万円,89万円 (85.1%),89万円 (85.1%),95,105 (90.5%),105 (90.5%),"7,978","8,481 (94.1%)","8,481 (94.1%)"
宿泊,令和6年度,1年前,2025-03-14,金,153万円,164万円 (93.2%),164万円 (93.2%),177,199 (88.9%),199 (88.9%),"8,628","8,231 (104.8%)","8,231 (104.8%)"
宿泊,令和6年度,1年前,2025-03-15,土,120万円,95万円 (125.7%),95万円 (125.7%),125,116 (107.8%),116 (107.8%),"9,601","8,228 (116.7%)","8,228 (116.7%)"
宿泊,令和6年度,1年前,2025-03-16,日,221万円,183万円 (121.0%),183万円 (121.0%),166,166 (100.0%),166 (100.0%),"13,338","11,022 (121.0%)","11,022 (121.0%)"
宿泊,令和6年度,1年前,2025-03-17,月,166万円,82万円 (201.6%),82万円 (201.6%),140,93 (150.5%),93 (150.5%),"11,823","8,829 (133.9%)","8,829 (133.9%)"
宿泊,令和6年度,1年前,2025-03-18,火,59万円,98万円 (60.4%),98万円 (60.4%),72,139 (51.8%),139 (51.8%),"8,213","7,041 (116.6%)","7,041 (116.6%)"
宿泊,令和6年度,1年前,2025-03-19,水,113万円,103万円 (109.9%),103万円 (109.9%),121,122 (99.2%),122 (99.2%),"9,348","8,433 (110.9%)","8,433 (110.9%)"
宿泊,令和6年度,1年前,2025-03-20,木,123万円,88万円 (140.2%),88万円 (140.2%),128,96 (133.3%),96 (133.3%),"9,586","9,115 (105.2%)","9,115 (105.2%)"
宿泊,令和6年度,1年前,2025-03-21,金,150万円,165万円 (90.5%),165万円 (90.5%),145,187 (77.5%),187 (77.5%),"10,325","8,848 (116.7%)","8,848 (116.7%)"
宿泊,令和6年度,1年前,2025-03-22,土,188万円,73万円 (256.6%),73万円 (256.6%),184,77 (239.0%),77 (239.0%),"10,224","9,520 (107.4%)","9,520 (107.4%)"
宿泊,令和6年度,1年前,2025-03-23,日,277万円,202万円 (137.1%),202万円 (137.1%),238,180 (132.2%),180 (132.2%),"11,631","11,220 (103.7%)","11,220 (103.7%)"
宿泊,令和6年度,1年前,2025-03-24,月,98万円,137万円 (71.7%),137万円 (71.7%),90,114 (78.9%),114 (78.9%),"10,929","12,040 (90.8%)","12,040 (90.8%)"
宿泊,令和6年度,1年前,2025-03-25,火,112万円,52万円 (215.7%),52万円 (215.7%),117,61 (191.8%),61 (191.8%),"9,581","8,518 (112.5%)","8,518 (112.5%)"
宿泊,令和6年度,1年前,2025-03-26,水,95万円,108万円 (88.2%),108万円 (88.2%),100,123 (81.3%),123 (81.3%),"9,529","8,787 (108.4%)","8,787 (108.4%)"
宿泊,令和6年度,1年前,2025-03-27,木,98万円,100万円 (97.7%),100万円 (97.7%),113,112 (100.9%),112 (100.9%),"8,634","8,916 (96.8%)","8,916 (96.8%)"
宿泊,令和6年度,1年前,2025-03-28,金,179万円,148万円 (121.3%),148万円 (121.3%),192,180 (106.7%),180 (106.7%),"9,323","8,197 (113.7%)","8,197 (113.7%)"
宿泊,令和6年度,1年前,2025-03-29,土,138万円,100万円 (137.7%),100万円 (137.7%),125,113 (110.6%),113 (110.6%),"11,008","8,842 (124.5%)","8,842 (124.5%)"
宿泊,令和6年度,1年前,2025-03-30,日,278万円,225万円 (123.7%),225万円 (123.7%),210,203 (103.4%),203 (103.4%),"13,262","11,088 (119.6%)","11,088 (119.6%)"
宿泊,令和6年度,1年前,2025-03-31,月,145万円,76万円 (189.6%),76万円 (189.6%),133,82 (162.2%),82 (162.2%),"10,898","9,321 (116.9%)","9,321 (116.9%)"
宿泊,令和7年度,1年前,2025-04-01,火,51万円,38万円 (133.7%),38万円 (133.7%),74,52 (142.3%),52 (142.3%),"6,939","7,388 (93.9%)","7,388 (93.9%)"
宿泊,令和7年度,1年前,2025-04-02,水,48万円,84万円 (57.4%),84万円 (57.4%),65,114 (57.0%),114 (57.0%),"7,452","7,401 (100.7%)","7,401 (100.7%)"
宿泊,令和7年度,1年前,2025-04-03,木,79万円,58万円 (135.8%),58万円 (135.8%),108,77 (140.3%),77 (140.3%),"7,273","7,510 (96.9%)","7,510 (96.9%)"
宿泊,令和7年度,1年前,2025-04-04,金,138万円,107万円 (128.5%),107万円 (128.5%),152,117 (129.9%),117 (129.9%),"9,046","9,149 (98.9%)","9,149 (98.9%)"
宿泊,令和7年度,1年前,2025-04-05,土,65万円,56万円 (116.0%),56万円 (116.0%),73,62 (117.7%),62 (117.7%),"8,855","8,985 (98.6%)","8,985 (98.6%)"
宿泊,令和7年度,1年前,2025-04-06,日,209万円,199万円 (104.8%),199万円 (104.8%),160,170 (94.1%),170 (94.1%),"13,063","11,730 (111.4%)","11,730 (111.4%)"
宿泊,令和7年度,1年前,2025-04-07,月,63万円,51万円 (123.6%),51万円 (123.6%),50,55 (90.9%),55 (90.9%),"12,546","9,231 (135.9%)","9,231 (135.9%)"
宿泊,令和7年度,1年前,2025-04-08,火,70万円,46万円 (150.9%),46万円 (150.9%),73,63 (115.9%),63 (115.9%),"9,542","7,330 (130.2%)","7,330 (130.2%)"
宿泊,令和7年度,1年前,2025-04-09,水,110万円,72万円 (153.5%),72万円 (153.5%),125,78 (160.3%),78 (160.3%),"8,829","9,216 (95.8%)","9,216 (95.8%)"
宿泊,令和7年度,1年前,2025-04-10,木,91万円,67万円 (134.8%),67万円 (134.8%),109,81 (134.6%),81 (134.6%),"8,316","8,304 (100.1%)","8,304 (100.1%)"
宿泊,令和7年度,1年前,2025-04-11,金,158万円,108万円 (146.4%),108万円 (146.4%),163,128 (127.3%),128 (127.3%),"9,670","8,414 (114.9%)","8,414 (114.9%)"
宿泊,令和7年度,1年前,2025-04-12,土,173万円,125万円 (138.5%),125万円 (138.5%),183,132 (138.6%),132 (138.6%),"9,467","9,473 (99.9%)","9,473 (99.9%)"
宿泊,令和7年度,1年前,2025-04-13,日,314万円,251万円 (124.9%),251万円 (124.9%),297,238 (124.8%),238 (124.8%),"10,573","10,563 (100.1%)","10,563 (100.1%)"
宿泊,令和7年度,1年前,2025-04-14,月,94万円,101万円 (92.9%),101万円 (92.9%),105,95 (110.5%),95 (110.5%),"8,976","10,678 (84.1%)","10,678 (84.1%)"
宿泊,令和7年度,1年前,2025-04-15,火,122万円,102万円 (119.8%),102万円 (119.8%),115,117 (98.3%),117 (98.3%),"10,634","8,721 (121.9%)","8,721 (121.9%)"
宿泊,令和7年度,1年前,2025-04-16,水,129万円,95万円 (136.2%),95万円 (136.2%),127,108 (117.6%),108 (117.6%),"10,181","8,788 (115.8%)","8,788 (115.8%)"
宿泊,令和7年度,1年前,2025-04-17,木,129万円,148万円 (87.4%),148万円 (87.4%),121,165 (73.3%),165 (73.3%),"10,702","8,984 (119.1%)","8,984 (119.1%)"
宿泊,令和7年度,1年前,2025-04-18,金,209万円,206万円 (101.7%),206万円 (101.7%),227,204 (111.3%),204 (111.3%),"9,206","10,075 (91.4%)","10,075 (91.4%)"
宿泊,令和7年度,1年前,2025-04-19,土,166万円,128万円 (129.5%),128万円 (129.5%),167,116 (144.0%),116 (144.0%),"9,913","11,018 (90.0%)","11,018 (90.0%)"
宿泊,令和7年度,1年前,2025-04-20,日,262万円,186万円 (140.9%),186万円 (140.9%),222,187 (118.7%),187 (118.7%),"11,820","9,956 (118.7%)","9,956 (118.7%)"
宿泊,令和7年度,1年前,2025-04-21,月,108万円,100万円 (107.9%),100万円 (107.9%),97,82 (118.3%),82 (118.3%),"11,134","12,204 (91.2%)","12,204 (91.2%)"
宿泊,令和7年度,1年前,2025-04-22,火,85万円,63万円 (134.8%),63万円 (134.8%),89,69 (129.0%),69 (129.0%),"9,522","9,113 (104.5%)","9,113 (104.5%)"
宿泊,令和7年度,1年前,2025-04-23,水,104万円,123万円 (85.0%),123万円 (85.0%),106,140 (75.7%),140 (75.7%),"9,841","8,762 (112.3%)","8,762 (112.3%)"
宿泊,令和7年度,1年前,2025-04-24,木,147万円,88万円 (166.9%),88万円 (166.9%),151,99 (152.5%),99 (152.5%),"9,740","8,900 (109.4%)","8,900 (109.4%)"
宿泊,令和7年度,1年前,2025-04-25,金,154万円,117万円 (131.6%),117万円 (131.6%),170,141 (120.6%),141 (120.6%),"9,050","8,292 (109.1%)","8,292 (109.1%)"
宿泊,令和7年度,1年前,2025-04-26,土,148万円,147万円 (101.1%),147万円 (101.1%),137,148 (92.6%),148 (92.6%),"10,837","9,923 (109.2%)","9,923 (109.2%)"
宿泊,令和7年度,1年前,2025-04-27,日,287万円,366万円 (78.4%),366万円 (78.4%),225,277 (81.2%),277 (81.2%),"12,736","13,202 (96.5%)","13,202 (96.5%)"
宿泊,令和7年度,1年前,2025-04-28,月,169万円,400万円 (42.2%),400万円 (42.2%),138,294 (46.9%),294 (46.9%),"12,233","13,607 (89.9%)","13,607 (89.9%)"
宿泊,令和7年度,1年前,2025-04-29,火,268万円,226万円 (118.3%),226万円 (118.3%),220,202 (108.9%),202 (108.9%),"12,168","11,201 (108.6%)","11,201 (108.6%)"
宿泊,令和7年度,1年前,2025-04-30,水,186万円,253万円 (73.7%),253万円 (73.7%),147,203 (72.4%),203 (72.4%),"12,674","12,455 (101.8%)","12,455 (101.8%)"
宿泊,令和7年度,1年前,2025-05-01,木,105万円,176万円 (59.8%),176万円 (59.8%),114,168 (67.9%),168 (67.9%),"9,252","10,493 (88.2%)","10,493 (88.2%)"
宿泊,令和7年度,1年前,2025-05-02,金,222万円,303万円 (73.1%),303万円 (73.1%),192,268 (71.6%),268 (71.6%),"11,551","11,320 (102.0%)","11,320 (102.0%)"
宿泊,令和7年度,1年前,2025-05-03,土,264万円,377万円 (70.0%),377万円 (70.0%),219,266 (82.3%),266 (82.3%),"12,053","14,170 (85.1%)","14,170 (85.1%)"
宿泊,令和7年度,1年前,2025-05-04,日,500万円,518万円 (96.6%),518万円 (96.6%),345,352 (98.0%),352 (98.0%),"14,496","14,704 (98.6%)","14,704 (98.6%)"
宿泊,令和7年度,1年前,2025-05-05,月,586万円,447万円 (131.0%),447万円 (131.0%),414,355 (116.6%),355 (116.6%),"14,150","12,599 (112.3%)","12,599 (112.3%)"
宿泊,令和7年度,1年前,2025-05-06,火,450万円,149万円 (300.9%),149万円 (300.9%),304,136 (223.5%),136 (223.5%),"14,791","10,987 (134.6%)","10,987 (134.6%)"
宿泊,令和7年度,1年前,2025-05-07,水,88万円,48万円 (184.1%),48万円 (184.1%),72,58 (124.1%),58 (124.1%),"12,247","8,257 (148.3%)","8,257 (148.3%)"
宿泊,令和7年度,1年前,2025-05-08,木,62万円,134万円 (46.5%),134万円 (46.5%),74,166 (44.6%),166 (44.6%),"8,424","8,081 (104.2%)","8,081 (104.2%)"
宿泊,令和7年度,1年前,2025-05-09,金,72万円,146万円 (49.1%),146万円 (49.1%),93,167 (55.7%),167 (55.7%),"7,725","8,754 (88.2%)","8,754 (88.2%)"
宿泊,令和7年度,1年前,2025-05-10,土,78万円,89万円 (88.2%),89万円 (88.2%),78,101 (77.2%),101 (77.2%),"10,039","8,785 (114.3%)","8,785 (114.3%)"
宿泊,令和7年度,1年前,2025-05-11,日,201万円,207万円 (97.1%),207万円 (97.1%),185,209 (88.5%),209 (88.5%),"10,839","9,884 (109.7%)","9,884 (109.7%)"
宿泊,令和7年度,1年前,2025-05-12,月,94万円,110万円 (85.5%),110万円 (85.5%),91,91 (100.0%),91 (100.0%),"10,382","12,137 (85.5%)","12,137 (85.5%)"
宿泊,令和7年度,1年前,2025-05-13,火,81万円,72万円 (112.2%),72万円 (112.2%),84,78 (107.7%),78 (107.7%),"9,679","9,287 (104.2%)","9,287 (104.2%)"
宿泊,令和7年度,1年前,2025-05-14,水,144万円,105万円 (136.4%),105万円 (136.4%),138,99 (139.4%),99 (139.4%),"10,399","10,624 (97.9%)","10,624 (97.9%)"
宿泊,令和7年度,1年前,2025-05-15,木,121万円,160万円 (75.6%),160万円 (75.6%),125,180 (69.4%),180 (69.4%),"9,702","8,912 (108.9%)","8,912 (108.9%)"
宿泊,令和7年度,1年前,2025-05-16,金,177万円,167万円 (105.5%),167万円 (105.5%),185,176 (105.1%),176 (105.1%),"9,541","9,506 (100.4%)","9,506 (100.4%)"
宿泊,令和7年度,1年前,2025-05-17,土,152万円,97万円 (156.7%),97万円 (156.7%),141,99 (142.4%),99 (142.4%),"10,758","9,779 (110.0%)","9,779 (110.0%)"
宿泊,令和7年度,1年前,2025-05-18,日,294万円,232万円 (126.8%),232万円 (126.8%),242,210 (115.2%),210 (115.2%),"12,143","11,039 (110.0%)","11,039 (110.0%)"
宿泊,令和7年度,1年前,2025-05-19,月,121万円,131万円 (92.1%),131万円 (92.1%),101,103 (98.1%),103 (98.1%),"11,961","12,731 (94.0%)","12,731 (94.0%)"
宿泊,令和7年度,1年前,2025-05-20,火,107万円,101万円 (105.8%),101万円 (105.8%),110,116 (94.8%),116 (94.8%),"9,703","8,695 (111.6%)","8,695 (111.6%)"
宿泊,令和7年度,1年前,2025-05-21,水,111万円,143万円 (77.6%),143万円 (77.6%),107,163 (65.6%),163 (65.6%),"10,386","8,789 (118.2%)","8,789 (118.2%)"
宿泊,令和7年度,1年前,2025-05-22,木,150万円,107万円 (140.7%),107万円 (140.7%),156,112 (139.3%),112 (139.3%),"9,645","9,549 (101.0%)","9,549 (101.0%)"
宿泊,令和7年度,1年前,2025-05-23,金,198万円,156万円 (127.6%),156万円 (127.6%),208,169 (123.1%),169 (123.1%),"9,542","9,203 (103.7%)","9,203 (103.7%)"
宿泊,令和7年度,1年前,2025-05-24,土,174万円,119万円 (145.8%),119万円 (145.8%),194,115 (168.7%),115 (168.7%),"8,946","10,352 (86.4%)","10,352 (86.4%)"
宿泊,令和7年度,1年前,2025-05-25,日,216万円,170万円 (126.7%),170万円 (126.7%),195,162 (120.4%),162 (120.4%),"11,052","10,498 (105.3%)","10,498 (105.3%)"
宿泊,令和7年度,1年前,2025-05-26,月,122万円,110万円 (110.9%),110万円 (110.9%),84,93 (90.3%),93 (90.3%),"14,528","11,827 (122.8%)","11,827 (122.8%)"
宿泊,令和7年度,1年前,2025-05-27,火,141万円,111万円 (126.6%),111万円 (126.6%),162,99 (163.6%),99 (163.6%),"8,713","11,260 (77.4%)","11,260 (77.4%)"
宿泊,令和7年度,1年前,2025-05-28,水,106万円,102万円 (104.3%),102万円 (104.3%),118,124 (95.2%),124 (95.2%),"8,987","8,202 (109.6%)","8,202 (109.6%)"
宿泊,令和7年度,1年前,2025-05-29,木,129万円,113万円 (114.7%),113万円 (114.7%),133,126 (105.6%),126 (105.6%),"9,709","8,939 (108.6%)","8,939 (108.6%)"
