# じゃらんエリアダッシュボード／予約状況／カレンダー 日別データ【宿泊】,,,,,,,,,,,,,
# データソース: https://prod-apnortheast-a.online.tableau.com/#/site/jalanareadashboard/views/ver_2/sheet0,,,,,,,,,,,,,
# 比較年: 1年前（前年同月日との比較）,,,,,,,,,,,,,
# 取扱額の単位は万円、人数=宿泊人泊数、単価=宿泊人泊単価（円）,,,,,,,,,,,,,
# 比較年実績/比較年予約 セルは「値 (前年比%)」の形式,,,,,,,,,,,,,
# 「※」は予約実績法人数1件以下または予約件数4件以下のため非公開,,,,,,,,,,,,,
予約種別,年度,比較年,日付,曜日,取扱額,取扱額_比較年実績,取扱額_比較年予約,宿泊人泊数,人泊数_比較年実績,人泊数_比較年予約,宿泊人泊単価,単価_比較年実績,単価_比較年予約
宿泊,令和6年度,1年前,2024-07-22,月,107万円,118万円 (91.1%),118万円 (91.1%),86,99 (86.9%),99 (86.9%),"12,463","11,884 (104.9%)","11,884 (104.9%)"
宿泊,令和6年度,1年前,2024-07-23,火,101万円,153万円 (66.1%),153万円 (66.1%),99,141 (70.2%),141 (70.2%),"10,226","10,858 (94.2%)","10,858 (94.2%)"
宿泊,令和6年度,1年前,2024-07-24,水,83万円,142万円 (58.2%),142万円 (58.2%),110,149 (73.8%),149 (73.8%),"7,511","9,535 (78.8%)","9,535 (78.8%)"
宿泊,令和6年度,1年前,2024-07-25,木,95万円,116万円 (82.0%),116万円 (82.0%),110,129 (85.3%),129 (85.3%),"8,673","9,022 (96.1%)","9,022 (96.1%)"
宿泊,令和6年度,1年前,2024-07-26,金,157万円,199万円 (78.7%),199万円 (78.7%),181,201 (90.0%),201 (90.0%),"8,668","9,920 (87.4%)","9,920 (87.4%)"
宿泊,令和6年度,1年前,2024-07-27,土,144万円,95万円 (151.3%),95万円 (151.3%),141,111 (127.0%),111 (127.0%),"10,233","8,590 (119.1%)","8,590 (119.1%)"
宿泊,令和6年度,1年前,2024-07-28,日,227万円,229万円 (99.2%),229万円 (99.2%),215,219 (98.2%),219 (98.2%),"10,548","10,437 (101.1%)","10,437 (101.1%)"
宿泊,令和6年度,1年前,2024-07-29,月,117万円,147万円 (79.8%),147万円 (79.8%),91,123 (74.0%),123 (74.0%),"12,853","11,918 (107.8%)","11,918 (107.8%)"
宿泊,令和6年度,1年前,2024-07-30,火,102万円,116万円 (88.0%),116万円 (88.0%),105,109 (96.3%),109 (96.3%),"9,714","10,639 (91.3%)","10,639 (91.3%)"
宿泊,令和6年度,1年前,2024-07-31,水,121万円,111万円 (108.7%),111万円 (108.7%),128,119 (107.6%),119 (107.6%),"9,458","9,361 (101.0%)","9,361 (101.0%)"
宿泊,令和6年度,1年前,2024-08-01,木,91万円,122万円 (74.0%),122万円 (74.0%),99,140 (70.7%),140 (70.7%),"9,144","8,734 (104.7%)","8,734 (104.7%)"
宿泊,令和6年度,1年前,2024-08-02,金,106万円,191万円 (55.4%),191万円 (55.4%),118,212 (55.7%),212 (55.7%),"8,975","9,022 (99.5%)","9,022 (99.5%)"
宿泊,令和6年度,1年前,2024-08-03,土,194万円,222万円 (87.3%),222万円 (87.3%),214,226 (94.7%),226 (94.7%),"9,060","9,822 (92.2%)","9,822 (92.2%)"
宿泊,令和6年度,1年前,2024-08-04,日,261万円,273万円 (95.5%),273万円 (95.5%),245,241 (101.7%),241 (101.7%),"10,662","11,344 (94.0%)","11,344 (94.0%)"
宿泊,令和6年度,1年前,2024-08-05,月,90万円,176万円 (50.9%),176万円 (50.9%),80,151 (53.0%),151 (53.0%),"11,217","11,675 (96.1%)","11,675 (96.1%)"
宿泊,令和6年度,1年前,2024-08-06,火,181万円,202万円 (89.6%),202万円 (89.6%),181,207 (87.4%),207 (87.4%),"10,020","9,774 (102.5%)","9,774 (102.5%)"
宿泊,令和6年度,1年前,2024-08-07,水,187万円,147万円 (127.0%),147万円 (127.0%),201,149 (134.9%),149 (134.9%),"9,299","9,879 (94.1%)","9,879 (94.1%)"
宿泊,令和6年度,1年前,2024-08-08,木,152万円,192万円 (78.9%),192万円 (78.9%),170,225 (75.6%),225 (75.6%),"8,919","8,537 (104.5%)","8,537 (104.5%)"
宿泊,令和6年度,1年前,2024-08-09,金,175万円,233万円 (75.3%),233万円 (75.3%),183,206 (88.8%),206 (88.8%),"9,571","11,291 (84.8%)","11,291 (84.8%)"
宿泊,令和6年度,1年前,2024-08-10,土,158万円,439万円 (36.0%),439万円 (36.0%),161,387 (41.6%),387 (41.6%),"9,803","11,344 (86.4%)","11,344 (86.4%)"
宿泊,令和6年度,1年前,2024-08-11,日,395万円,382万円 (103.4%),382万円 (103.4%),297,310 (95.8%),310 (95.8%),"13,289","12,309 (108.0%)","12,309 (108.0%)"
宿泊,令和6年度,1年前,2024-08-12,月,422万円,381万円 (110.9%),381万円 (110.9%),336,315 (106.7%),315 (106.7%),"12,567","12,089 (104.0%)","12,089 (104.0%)"
宿泊,令和6年度,1年前,2024-08-13,火,296万円,389万円 (76.0%),389万円 (76.0%),238,362 (65.7%),362 (65.7%),"12,425","10,744 (115.6%)","10,744 (115.6%)"
宿泊,令和6年度,1年前,2024-08-14,水,417万円,320万円 (130.4%),320万円 (130.4%),326,274 (119.0%),274 (119.0%),"12,803","11,681 (109.6%)","11,681 (109.6%)"
